person,personLabel,died,sitelinks
http://www.wikidata.org/entity/Q230126,Dorothy Malone,2018-01-19T00:00:00Z,49
http://www.wikidata.org/entity/Q2145004,Yoshinori Shigematsu,2018-01-01T00:00:00Z,49
http://www.wikidata.org/entity/Q456164,Davide Astori,2018-03-04T00:00:00Z,48
http://www.wikidata.org/entity/Q211542,Arto Paasilinna,2018-10-15T00:00:00Z,46
http://www.wikidata.org/entity/Q18066,Eduard Uspensky,2018-08-14T00:00:00Z,46
http://www.wikidata.org/entity/Q319351,Roger Bannister,2018-03-03T00:00:00Z,46
http://www.wikidata.org/entity/Q311669,Shoko Asahara,2018-07-06T00:00:00Z,45
http://www.wikidata.org/entity/Q324726,Mac Miller,2018-09-07T00:00:00Z,45
http://www.wikidata.org/entity/Q311253,Harlan Ellison,2018-06-28T00:00:00Z,45
http://www.wikidata.org/entity/Q501880,Bernard Lewis,2018-05-19T00:00:00Z,45
http://www.wikidata.org/entity/Q315808,Neil Simon,2018-08-26T00:00:00Z,44
http://www.wikidata.org/entity/Q229424,Irena Szewińska,2018-06-29T00:00:00Z,44
http://www.wikidata.org/entity/Q298430,Reynaldo Bignone,2018-03-07T00:00:00Z,44
http://www.wikidata.org/entity/Q233247,Maria Bueno,2018-06-08T00:00:00Z,43
http://www.wikidata.org/entity/Q32439,Stéphane Audran,2018-03-27T00:00:00Z,42
http://www.wikidata.org/entity/Q167318,Hubert de Givenchy,2018-03-10T00:00:00Z,42
http://www.wikidata.org/entity/Q344655,John Mahoney,2018-02-04T00:00:00Z,42
http://www.wikidata.org/entity/Q1738578,Ken Berry,2018-12-01T00:00:00Z,41
http://www.wikidata.org/entity/Q93652,Christine Nöstlinger,2018-06-28T00:00:00Z,41
http://www.wikidata.org/entity/Q467077,Efraín Ríos Montt,2018-04-01T00:00:00Z,41
http://www.wikidata.org/entity/Q379756,Quini,2018-02-27T00:00:00Z,41
http://www.wikidata.org/entity/Q360832,Nicanor Parra,2018-01-23T00:00:00Z,41
http://www.wikidata.org/entity/Q310769,Alan Baker,2018-02-04T00:00:00Z,41
http://www.wikidata.org/entity/Q506885,William Goldman,2018-11-16T00:00:00Z,40
http://www.wikidata.org/entity/Q355652,Steve Ditko,2018-06-29T00:00:00Z,40
http://www.wikidata.org/entity/Q2619317,Bud Luckey,2018-02-24T00:00:00Z,40
http://www.wikidata.org/entity/Q333066,Paddy Ashdown,2018-12-22T00:00:00Z,39
http://www.wikidata.org/entity/Q263681,Gene Sharp,2018-01-28T00:00:00Z,39
http://www.wikidata.org/entity/Q246594,Hugh Masekela,2018-01-23T00:00:00Z,38
http://www.wikidata.org/entity/Q8159,Paul Bocuse,2018-01-20T00:00:00Z,38
